Mã sản phẩm,Tên sản phẩm,Danh mục,Mô tả,Đơn vị tính,Giá nhập,Giá bán,Số lượng tồn kho,Tồn kho tối thiểu,Vị trí lưu kho,Nhà cung cấp,Ngày nhập gần nhất,Trạng thái
ĐỒU-2512-0062,Coca-Cola Cà phê hòa tan 20 gói,Đồ uống,"Sản phẩm Coca-Cola Cà phê hòa tan 20 gói của Coca-Cola: NSX gần, HSD còn dài, Bảo quản nơi khô ráo, thoáng mát, Thùng 24 lon/chai. Giá tham khảo 188,000đ. Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang).",Thùng,102985,188000,132,21,K05-H23-B10,Mai Trần Tập Đoàn,2025-10-26,Còn hàng
LAP-2507-0063,Acer Modern 14 Max,Laptop,"Sản phẩm Acer Modern 14 Max của Acer: RAM 32GB, SSD 256GB, Màn hình 15.6"" FHD. Giá tham khảo 35,755,000đ. Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #acer #gia_tot",Chiếc,26724593,35755000,16,14,K03-H12-B10,Lê Đặng Tập Đoàn,2025-11-04,Còn hàng
ĐỒC-2507-0064,Hasbro Bộ lắp ghép Plus,Đồ chơi,,Hộp,731032,1013000,27,6,K11-H19-B16,CTCP Thiết bị Gia dụng H.T,2025-11-04,Còn hàng
THỜ-2505-0065,IVY Moda Đầm midi Max,Thời trang nữ,"IVY Moda Đầm midi Max – lựa chọn đáng giá trong phân khúc. Nổi bật: Phom oversize, Dễ phối đồ, phù hợp đi làm/đi chơi, Chất liệu voan. Bảo hành 12 tháng, Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #chinhhang #gia_tot",Cái,939492,1469000,94,15,K05-H10-B11,CT TNHH Xuất nhập khẩu Đại Phát,2025-11-05,Còn hàng
ĐIỆ-2510-0066,OPPO S23 Plus,Điện thoại,,Chiếc,10114348,12444000,15,15,K12-H21-B14,CT TNHH Xuất nhập khẩu Đại Phát,2025-11-01,Còn hàng
THỜ-2506-0067,Canifa Áo khoác gió,Thời trang nam,,Cái,408222,673000,76,10,K02-H08-B14,CTCP Bán lẻ Công nghệ A-Z,2025-10-17,Còn hàng
ĐỒC-2503-0068,Mattel Búp bê Plus,Đồ chơi,"Sản phẩm Mattel Búp bê Plus của Mattel: Độ tuổi khuyến nghị 3+, Chất liệu an toàn, đạt chuẩn EN-71. Giá tham khảo 1,702,000đ. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #chinhhang #mattel",Hộp,1052032,1702000,34,5,K02-H17-B17,CTCP Thiết bị Gia dụng H.T,2025-10-05,Còn hàng
MỸP-2510-0069,The Ordinary Kem chống nắng SPF50,Mỹ phẩm,"The Ordinary Kem chống nắng SPF50 – lựa chọn đáng giá trong phân khúc. Nổi bật: Phù hợp loại da thường, Không paraben, không cồn khô, Thành phần nổi bật: Hyaluronic Acid. Bảo hành 12 tháng, Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #chinhhang #gia_tot",Tuýp,717828,1024000,65,17,K11-H11-B05,CT TNHH Xuất nhập khẩu Đại Phát,2025-08-04,Còn hàng
ĐỒC-2510-0070,Lego Bộ lắp ghép SE,Đồ chơi,"Sản phẩm Lego Bộ lắp ghép SE của Lego: Chất liệu an toàn, đạt chuẩn EN-71, Phát triển tư duy & sáng tạo, Độ tuổi khuyến nghị 3+. Giá tham khảo 1,050,000đ. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #gia_tot #chinhhang",Hộp,766972,1050000,31,15,K09-H26-B02,CTCP Bán lẻ Công nghệ A-Z,2025-10-28,Còn hàng
GIA-2509-0071,Sunhouse Ấm siêu tốc 1.7L SE,Gia dụng,"Sản phẩm Sunhouse Ấm siêu tốc 1.7L SE của Sunhouse: Bảo hành chính hãng 24 tháng, Công suất 700W. Giá tham khảo 4,787,000đ. Giao 24-48H toàn quốc. Đổi trả trong 15 ngày.",Cái,3062390,4787000,43,9,K05-H13-B14,Phạm và Nguyễn Công ty Cổ phần,2025-11-05,Còn hàng
ĐỒU-2510-0072,Pepsi Chai 1.5L lốc 6 Pro,Đồ uống,"Sản phẩm Pepsi Chai 1.5L lốc 6 Pro của Pepsi: Thùng 12 lon/chai, Bảo quản nơi khô ráo, thoáng mát. Giá tham khảo 530,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày. #giao_nhanh #gia_tot",Thùng,299828,530000,130,17,K05-H21-B13,Công ty TNHH Thương mại Minh Anh,2025-11-01,Còn hàng
PHỤ-2504-0073,Ugreen Hub 6-in-1 Mini,Phụ kiện,"Sản phẩm Ugreen Hub 6-in-1 Mini của Ugreen: Cáp USB-A to Lightning dài 1m, Công suất 65W, hỗ trợ PD/QC, Chứng nhận an toàn CE/FCC. Giá tham khảo 1,618,000đ. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày.",Cái,1200000,1618000,115,19,K03-H03-B10,Dương Tập Đoàn,2025-10-06,Còn hàng
PHỤ-2506-0074,Hyper Sạc 20W Mini,Phụ kiện,"Hyper Sạc 20W Mini – lựa chọn đáng giá trong phân khúc. Nổi bật: Chứng nhận an toàn CE/FCC, Công suất 65W, hỗ trợ PD/QC, Cáp USB-A to Lightning dài 2m. Bảo hành 6 tháng, Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang).",Cái,991600,1474000,103,19,K10-H10-B15,Công ty Cổ phần Phân phối Sao Việt,2025-10-22,Còn hàng
GIA-2501-0075,Electrolux Máy xay sinh tố Plus,Gia dụng,"Electrolux Máy xay sinh tố Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: Bảo hành chính hãng 12 tháng, Công suất 900W. Bảo hành 24 tháng, Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày. #gia_tot #electrolux",Cái,3697917,4425000,44,19,K09-H30-B04,Lê Dương Công ty Hợp danh,2025-09-18,Còn hàng
THỜ-2507-0076,Routine Áo khoác gió Pro,Thời trang nam,"Routine Áo khoác gió Pro chính hãng từ Routine. Giá tốt chỉ 426,000đ. Chất liệu cotton 100%, Form regular. Bảo hành 6 tháng. Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang).",Cái,245897,426000,87,19,K02-H12-B08,Công ty TNHH Thương mại Minh Anh,2025-09-28,Còn hàng
MỸP-2501-0077,The Ordinary Sữa rửa mặt Pro,Mỹ phẩm,"Sản phẩm The Ordinary Sữa rửa mặt Pro của The Ordinary: Không paraben, không cồn khô, Thành phần nổi bật: Niacinamide. Giá tham khảo 478,000đ. Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang). #chinhhang #gia_tot",Tuýp,341597,478000,58,15,K03-H18-B20,Công ty TNHH Thương mại Minh Anh,2025-11-05,Còn hàng
ĐỒU-2510-0078,Coca-Cola Cà phê hòa tan 20 gói SE,Đồ uống,"Sản phẩm Coca-Cola Cà phê hòa tan 20 gói SE của Coca-Cola: NSX gần, HSD còn dài, Bảo quản nơi khô ráo, thoáng mát, Thùng 24 lon/chai. Giá tham khảo 644,000đ. Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang).",Thùng,405296,644000,114,20,K05-H14-B01,Công ty Cổ phần Phân phối Sao Việt,2025-11-04,Còn hàng
THỰ-2501-0079,Orion Gạo ST25 5kg Mini,Thực phẩm,"Orion Gạo ST25 5kg Mini – lựa chọn đáng giá trong phân khúc. Nổi bật: Bao bì nguyên vẹn, tem nhãn đầy đủ, HSD 17 tháng, Nguồn gốc rõ ràng, an toàn vệ sinh. Bảo hành 6 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #gia_tot #giao_nhanh",Gói,400000,551000,183,27,K05-H24-B01,Công ty TNHH Thương mại Minh Anh,2025-11-05,Còn hàng
MỸP-2502-0080,The Ordinary Kem dưỡng ẩm Max,Mỹ phẩm,"The Ordinary Kem dưỡng ẩm Max – lựa chọn đáng giá trong phân khúc. Nổi bật: Phù hợp loại da hỗn hợp, Không paraben, không cồn khô, Thành phần nổi bật: Hyaluronic Acid. Bảo hành 3 tháng, Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày. #chinhhang #giao_nhanh",Tuýp,184787,301000,93,21,K04-H02-B07,Vũ Bùi Công ty Trách nhiệm hữu hạn,2025-09-06,Còn hàng
THỜ-2507-0081,Yody Áo thun cotton Plus,Thời trang nam,"Yody Áo thun cotton Plus chính hãng từ Yody. Giá tốt chỉ 843,000đ. Chất liệu kaki co giãn, Form slim. Bảo hành 3 tháng. Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang). #giao_nhanh #chinhhang",Cái,547648,843000,64,20,K07-H11-B06,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-17,Còn hàng
LAP-2508-0082,Lenovo MacBook Air M2 Plus,Laptop,"Sản phẩm Lenovo MacBook Air M2 Plus của Lenovo: RAM 32GB, SSD 1024GB, CPU Apple M3. Giá tham khảo 39,742,000đ. Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #chinhhang #lenovo",Chiếc,22365733,39742000,12,14,K08-H12-B15,CTCP Thiết bị Gia dụng H.T,2025-09-28,Còn hàng
ĐỒU-2502-0083,Highlands Lon 330ml thùng 24 Max,Đồ uống,,Thùng,491061,641000,103,20,K06-H12-B13,Phạm Công ty Cổ phần,2025-10-26,Còn hàng
PHỤ-2508-0084,Hyper Hub 6-in-1 Plus,Phụ kiện,"Hyper Hub 6-in-1 Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: Cáp USB-C to USB-C dài 2m, Chứng nhận an toàn CE/FCC, Công suất 65W, hỗ trợ PD/QC. Bảo hành 12 tháng, Giao nhanh 2H nội thành. Đổi trả trong 15 ngày.",Cái,781315,899000,109,14,K09-H12-B13,CTCP Thiết bị Gia dụng H.T,2025-11-04,Còn hàng
GIA-2508-0085,Electrolux Lò vi sóng 23L,Gia dụng,"Sản phẩm Electrolux Lò vi sóng 23L của Electrolux: Bảo hành chính hãng 24 tháng, Công suất 1800W, Dung tích 1.8L. Giá tham khảo 2,774,000đ. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày.",Cái,2060476,2774000,44,10,K02-H15-B06,Hoàng Phạm Công ty TNHH,2025-09-29,Còn hàng
PHỤ-2502-0086,Baseus Bàn phím bluetooth Max,Phụ kiện,"Baseus Bàn phím bluetooth Max – lựa chọn đáng giá trong phân khúc. Nổi bật: Chứng nhận an toàn CE/FCC, Công suất 20W, hỗ trợ PD/QC, Cáp USB-C to USB-C dài 2m. Bảo hành 6 tháng, Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #baseus #giao_nhanh",Cái,926810,1590000,108,18,K04-H26-B16,CTCP Bán lẻ Công nghệ A-Z,2025-10-30,Còn hàng
LAP-2502-0087,HP MacBook Pro M3,Laptop,"Sản phẩm HP MacBook Pro M3 của HP: Màn hình 13.3"" FHD, Trọng lượng ~1.2kg, CPU Ryzen 7, RAM 8GB, SSD 512GB. Giá tham khảo 42,142,000đ. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #giao_nhanh #chinhhang",Chiếc,30860805,42142000,3,15,K09-H12-B05,Trần Nguyễn Tập Đoàn,2025-07-27,Còn hàng
ĐỒC-2511-0088,Hasbro Ô tô điều khiển Max,Đồ chơi,"Sản phẩm Hasbro Ô tô điều khiển Max của Hasbro: Chất liệu an toàn, đạt chuẩn EN-71, Độ tuổi khuyến nghị 3+, Phát triển tư duy & sáng tạo. Giá tham khảo 1,747,000đ. Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang). #gia_tot #giao_nhanh",Hộp,1217682,1747000,23,12,K02-H17-B06,CTCP Bán lẻ Công nghệ A-Z,2025-10-05,Còn hàng
THỜ-2509-0089,IVY Moda Áo khoác trench,Thời trang nữ,"IVY Moda Áo khoác trench – lựa chọn đáng giá trong phân khúc. Nổi bật: Chất liệu lụa, Dễ phối đồ, phù hợp đi làm/đi chơi. Bảo hành 3 tháng, Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #giao_nhanh #ivy_moda",Cái,584961,785000,101,18,K05-H16-B08,Dương và Phạm Công ty Hợp danh,2025-11-04,Còn hàng
PHỤ-2512-0090,Baseus Sạc dự phòng 10.000mAh Plus,Phụ kiện,"Baseus Sạc dự phòng 10.000mAh Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: Chứng nhận an toàn CE/FCC, Công suất 65W, hỗ trợ PD/QC, Cáp USB-C to USB-C dài 1m. Bảo hành 3 tháng, Giao nhanh 2H nội thành. Đổi trả trong 15 ngày.",Cái,1200000,1807000,134,23,K03-H25-B12,Công ty TNHH Thương mại Minh Anh,2025-10-30,Còn hàng
THỜ-2510-0091,NEM Áo kiểu lụa Plus,Thời trang nữ,"NEM Áo kiểu lụa Plus chính hãng từ NEM. Giá tốt chỉ 549,000đ. Dễ phối đồ, phù hợp đi làm/đi chơi, Phom bodycon, Chất liệu voan. Bảo hành 3 tháng. Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày. #nem #giao_nhanh",Cái,385737,549000,101,19,K03-H16-B17,CTCP Thiết bị Gia dụng H.T,2025-09-21,Còn hàng
MỸP-2507-0092,Innisfree Sữa rửa mặt Pro,Mỹ phẩm,,Tuýp,819264,1415000,73,11,K12-H12-B13,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-29,Còn hàng
THỰ-2505-0093,Kinh Đô Xúc xích tiệt trùng 10 cây SE,Thực phẩm,"Sản phẩm Kinh Đô Xúc xích tiệt trùng 10 cây SE của Kinh Đô: Bao bì nguyên vẹn, tem nhãn đầy đủ, Nguồn gốc rõ ràng, an toàn vệ sinh. Giá tham khảo 342,000đ. Giao 24-48H toàn quốc. Đổi trả trong 15 ngày.",Gói,232471,342000,133,17,K08-H25-B18,CTCP Bán lẻ Công nghệ A-Z,2025-10-31,Còn hàng
PHỤ-2507-0094,Ugreen Bàn phím bluetooth SE,Phụ kiện,"Ugreen Bàn phím bluetooth SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Cáp USB-C to Lightning dài 2m, Chứng nhận an toàn CE/FCC, Công suất 30W, hỗ trợ PD/QC. Bảo hành 6 tháng, Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #ugreen #giao_nhanh",Cái,260217,385000,133,13,K03-H23-B11,Phạm và đối tác Công ty TNHH,2025-10-20,Còn hàng
ĐỒU-2506-0095,Lavie Chai 1.5L lốc 6 Pro,Đồ uống,"Sản phẩm Lavie Chai 1.5L lốc 6 Pro của Lavie: NSX gần, HSD còn dài, Thùng 24 lon/chai, Bảo quản nơi khô ráo, thoáng mát. Giá tham khảo 602,000đ. Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #chinhhang #giao_nhanh",Thùng,355065,602000,115,23,K07-H19-B10,Đặng và đối tác Công ty TNHH MTV,2025-10-12,Còn hàng
MỸP-2511-0096,Maybelline Kem chống nắng SPF50 Max,Mỹ phẩm,"Maybelline Kem chống nắng SPF50 Max chính hãng từ Maybelline. Giá tốt chỉ 230,000đ. Không paraben, không cồn khô, Phù hợp loại da hỗn hợp, Thành phần nổi bật: Niacinamide. Bảo hành 12 tháng. Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang). #maybelline #giao_nhanh",Tuýp,134428,230000,62,14,K12-H04-B07,CTCP Thiết bị Gia dụng H.T,2025-11-03,Còn hàng
THỜ-2509-0097,H&M Áo kiểu lụa Mini,Thời trang nữ,"Sản phẩm H&M Áo kiểu lụa Mini của H&M: Chất liệu cotton, Dễ phối đồ, phù hợp đi làm/đi chơi. Giá tham khảo 1,257,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày.",Cái,858888,1257000,105,19,K11-H25-B09,Công ty Cổ phần Phân phối Sao Việt,2025-10-20,Còn hàng
THỜ-2512-0098,Coolmate Quần jeans slim SE,Thời trang nam,"Sản phẩm Coolmate Quần jeans slim SE của Coolmate: Màu sắc: xanh navy, Form oversize. Giá tham khảo 571,000đ. Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #coolmate #chinhhang",Cái,358534,571000,83,16,K10-H22-B18,CT TNHH Xuất nhập khẩu Đại Phát,2025-11-02,Còn hàng
GIA-2512-0099,Electrolux Lò vi sóng 23L SE,Gia dụng,"Electrolux Lò vi sóng 23L SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Công suất 700W, Dung tích 1.8L, Bảo hành chính hãng 12 tháng. Bảo hành 24 tháng, Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang). #gia_tot #chinhhang",Cái,1535300,2411000,40,12,K10-H24-B19,Công ty TNHH Thương mại Minh Anh,2025-11-05,Còn hàng
THỰ-2508-0100,Kinh Đô Gạo ST25 5kg,Thực phẩm,"Kinh Đô Gạo ST25 5kg – lựa chọn đáng giá trong phân khúc. Nổi bật: Bao bì nguyên vẹn, tem nhãn đầy đủ, Nguồn gốc rõ ràng, an toàn vệ sinh. Bảo hành 6 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày.",Gói,202664,312000,134,30,K05-H11-B10,Công ty TNHH Thương mại Minh Anh,2025-10-23,Còn hàng
PHỤ-2505-0101,Baseus Sạc 20W Pro,Phụ kiện,"Sản phẩm Baseus Sạc 20W Pro của Baseus: Chứng nhận an toàn CE/FCC, Công suất 65W, hỗ trợ PD/QC, Cáp USB-A to Lightning dài 1m. Giá tham khảo 1,306,000đ. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #giao_nhanh #baseus",Cái,847452,1306000,136,15,K06-H10-B15,Trần và Phạm Công ty Cổ phần,2025-10-31,Còn hàng
PHỤ-2505-0102,Anker Sạc dự phòng 10.000mAh Plus,Phụ kiện,"Anker Sạc dự phòng 10.000mAh Plus chính hãng từ Anker. Giá tốt chỉ 466,000đ. Chứng nhận an toàn CE/FCC, Cáp USB-C to USB-C dài 1m, Công suất 30W, hỗ trợ PD/QC. Bảo hành 6 tháng. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #gia_tot #anker",Cái,345675,466000,92,18,K11-H29-B13,Lê và đối tác Công ty TNHH MTV,2025-11-03,Còn hàng
ĐỒC-2512-0103,Mattel Ô tô điều khiển SE,Đồ chơi,"Mattel Ô tô điều khiển SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Phát triển tư duy & sáng tạo, Độ tuổi khuyến nghị 8+, Chất liệu an toàn, đạt chuẩn ASTM. Bảo hành 12 tháng, Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang). #gia_tot #chinhhang",Hộp,712621,880000,22,5,K06-H23-B08,Công ty TNHH Thương mại Minh Anh,2025-10-24,Còn hàng
PHỤ-2512-0104,Hyper Cáp USB-C 1m Mini,Phụ kiện,"Hyper Cáp USB-C 1m Mini chính hãng từ Hyper. Giá tốt chỉ 1,034,000đ. Cáp USB-C to Lightning dài 1m, Chứng nhận an toàn CE/FCC, Công suất 65W, hỗ trợ PD/QC. Bảo hành 12 tháng. Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày.",Cái,620474,1034000,126,23,K09-H30-B16,Dương Tập Đoàn,2025-11-05,Còn hàng
LAP-2504-0105,Dell Modern 14 SE,Laptop,"Sản phẩm Dell Modern 14 SE của Dell: Màn hình 15.6"" FHD, RAM 16GB, SSD 512GB. Giá tham khảo 32,375,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày.",Chiếc,20408667,32375000,4,5,K09-H15-B04,CTCP Bán lẻ Công nghệ A-Z,2025-11-02,Còn hàng
ĐIỆ-2512-0106,OPPO iPhone 14 Pro,Điện thoại,"OPPO iPhone 14 Pro – lựa chọn đáng giá trong phân khúc. Nổi bật: RAM 8GB, ROM 128GB, Pin 4500mAh, sạc nhanh 67W, Chip Snapdragon 7 Gen 1. Bảo hành 24 tháng, Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #gia_tot #giao_nhanh",Chiếc,18954672,26424000,16,8,K01-H14-B12,Mai Tập Đoàn,2025-10-21,Còn hàng
THỜ-2507-0107,Routine Áo sơ mi oxford SE,Thời trang nam,"Routine Áo sơ mi oxford SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Chất liệu thun lạnh, Màu sắc: trắng, Form regular. Bảo hành 6 tháng, Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #chinhhang #routine",Cái,586704,884000,79,12,K04-H27-B01,Phạm Công ty Cổ phần,2025-10-22,Còn hàng
THỜ-2502-0108,IVY Moda Áo kiểu lụa Max,Thời trang nữ,"Sản phẩm IVY Moda Áo kiểu lụa Max của IVY Moda: Phom A-line, Dễ phối đồ, phù hợp đi làm/đi chơi. Giá tham khảo 1,031,000đ. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #giao_nhanh #chinhhang",Cái,896557,1031000,91,12,K08-H20-B02,Công ty TNHH Thương mại Minh Anh,2025-11-01,Còn hàng
ĐỒC-2505-0109,Hasbro Búp bê Mini,Đồ chơi,"Hasbro Búp bê Mini – lựa chọn đáng giá trong phân khúc. Nổi bật: Phát triển tư duy & sáng tạo, Độ tuổi khuyến nghị 8+, Chất liệu an toàn, đạt chuẩn ASTM. Bảo hành 12 tháng, Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang). #giao_nhanh #gia_tot",Hộp,376819,473000,26,11,K10-H29-B06,CT TNHH Xuất nhập khẩu Đại Phát,2025-11-05,Còn hàng
PHỤ-2504-0110,Logitech Chuột không dây Max,Phụ kiện,"Logitech Chuột không dây Max – lựa chọn đáng giá trong phân khúc. Nổi bật: Chứng nhận an toàn CE/FCC, Công suất 30W, hỗ trợ PD/QC, Cáp USB-A to Lightning dài 1m. Bảo hành 6 tháng, Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày.",Cái,1046256,1640000,136,21,K03-H26-B15,Lê Công ty TNHH MTV,2025-10-13,Còn hàng
LAP-2505-0111,Asus ThinkPad X1 Pro,Laptop,"Sản phẩm Asus ThinkPad X1 Pro của Asus: Màn hình 14"" 2.8K 90Hz, CPU Intel Core i5, Trọng lượng ~1.3kg. Giá tham khảo 58,428,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày.",Chiếc,37768559,58428000,5,13,K10-H02-B03,CTCP Bán lẻ Công nghệ A-Z,2025-10-25,Còn hàng
MỸP-2504-0112,Maybelline Kem dưỡng ẩm Mini,Mỹ phẩm,"Maybelline Kem dưỡng ẩm Mini – lựa chọn đáng giá trong phân khúc. Nổi bật: Phù hợp loại da thường, Thành phần nổi bật: Ceramide, Không paraben, không cồn khô. Bảo hành 6 tháng, Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #gia_tot #giao_nhanh",Tuýp,766766,931000,59,17,K07-H15-B18,CTCP Thiết bị Gia dụng H.T,2025-11-03,Còn hàng
PHỤ-2510-0113,Anker Hub 6-in-1 SE,Phụ kiện,"Anker Hub 6-in-1 SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Công suất 65W, hỗ trợ PD/QC, Cáp USB-C to Lightning dài 2m, Chứng nhận an toàn CE/FCC. Bảo hành 6 tháng, Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang). #anker #chinhhang",Cái,446078,608000,123,25,K04-H11-B08,Công ty Cổ phần Phân phối Sao Việt,2025-11-04,Còn hàng
THỰ-2511-0114,Orion Bánh ChocoPie 12 cái Pro,Thực phẩm,,Gói,184009,289000,142,16,K07-H05-B08,Công ty Cổ phần Phân phối Sao Việt,2025-07-28,Còn hàng
THỰ-2510-0115,Vissan Xúc xích tiệt trùng 10 cây Pro,Thực phẩm,,Gói,221111,351000,132,30,K01-H01-B18,Công ty TNHH Thương mại Minh Anh,2025-11-04,Còn hàng
ĐỒC-2512-0116,Mattel Bộ lắp ghép SE,Đồ chơi,"Mattel Bộ lắp ghép SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Chất liệu an toàn, đạt chuẩn ASTM, Độ tuổi khuyến nghị 6+, Phát triển tư duy & sáng tạo. Bảo hành 3 tháng, Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #gia_tot #mattel",Hộp,1612924,2118000,31,16,K03-H04-B04,Công ty Cổ phần Phân phối Sao Việt,2025-11-04,Còn hàng
LAP-2507-0117,Acer Inspiron 15 Pro,Laptop,"Acer Inspiron 15 Pro chính hãng từ Acer. Giá tốt chỉ 27,502,000đ. RAM 8GB, SSD 256GB, CPU Intel Core i7, Pin dùng 12 giờ, Màn hình 15.6"" FHD. Bảo hành 24 tháng. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #giao_nhanh #acer",Chiếc,18854306,27502000,8,13,K08-H02-B01,Lê và đối tác Công ty Cổ phần,2025-11-03,Còn hàng
ĐỒU-2501-0118,Coca-Cola Lon 330ml thùng 24 Plus,Đồ uống,"Coca-Cola Lon 330ml thùng 24 Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: NSX gần, HSD còn dài, Thùng 24 lon/chai, Bảo quản nơi khô ráo, thoáng mát. Bảo hành 12 tháng, Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày.",Thùng,252931,379000,134,19,K12-H27-B13,Hoàng Công ty Trách nhiệm hữu hạn,2025-10-26,Còn hàng
PHỤ-2506-0119,Anker Bàn phím bluetooth,Phụ kiện,"Anker Bàn phím bluetooth – lựa chọn đáng giá trong phân khúc. Nổi bật: Công suất 45W, hỗ trợ PD/QC, Chứng nhận an toàn CE/FCC. Bảo hành 6 tháng, Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #anker #gia_tot",Cái,267326,369000,121,13,K04-H27-B03,CTCP Bán lẻ Công nghệ A-Z,2025-11-05,Còn hàng
PHỤ-2502-0120,Logitech Sạc dự phòng 10.000mAh Mini,Phụ kiện,"Logitech Sạc dự phòng 10.000mAh Mini – lựa chọn đáng giá trong phân khúc. Nổi bật: Cáp USB-A to Lightning dài 2m, Công suất 45W, hỗ trợ PD/QC, Chứng nhận an toàn CE/FCC. Bảo hành 3 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #giao_nhanh #chinhhang",Cái,985225,1565000,131,21,K12-H03-B03,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-07,Còn hàng
PHỤ-2508-0121,Anker Cáp USB-C 1m Mini,Phụ kiện,"Sản phẩm Anker Cáp USB-C 1m Mini của Anker: Chứng nhận an toàn CE/FCC, Công suất 65W, hỗ trợ PD/QC, Cáp USB-A to Lightning dài 1m. Giá tham khảo 480,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày. #anker #chinhhang",Cái,339498,480000,119,25,K02-H12-B18,CTCP Bán lẻ Công nghệ A-Z,2025-10-11,Còn hàng
PHỤ-2508-0122,Baseus Hub 6-in-1 Plus,Phụ kiện,"Baseus Hub 6-in-1 Plus chính hãng từ Baseus. Giá tốt chỉ 383,000đ. Chứng nhận an toàn CE/FCC, Cáp USB-C to Lightning dài 1m, Công suất 65W, hỗ trợ PD/QC. Bảo hành 3 tháng. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày.",Cái,261100,383000,151,16,K07-H09-B14,Công ty TNHH Thương mại Minh Anh,2025-11-03,Còn hàng
THỜ-2506-0123,Coolmate Quần jeans slim Mini,Thời trang nam,"Sản phẩm Coolmate Quần jeans slim Mini của Coolmate: Màu sắc: trắng, Form slim, Chất liệu thun lạnh. Giá tham khảo 1,041,000đ. Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #gia_tot #coolmate",Cái,696208,1041000,63,21,K11-H20-B05,CTCP Bán lẻ Công nghệ A-Z,2025-11-05,Còn hàng
